URN,name,type,phase,nursery_provision,sixth_form,gender,lowest_admission_age,highest_admission_age,census_date,number_of_pupils,percent_fsm,ofsted_rating,ofsted_report,compare_performance,headteacher,website,lon,lat
140142,Park Road Sale Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,468,2.4,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140142,https://www.compare-school-performance.service.gov.uk/school/140142,Claire Walmsley,www.parkroadsale.trafford.sch.uk,-2.329110410203544,53.42973303084613
140738,Old Trafford Community Academy,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,393,49.3,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/140738,https://www.compare-school-performance.service.gov.uk/school/140738,Nicole Davenport,www.oldtraffordcommunityacademy.co.uk,-2.2651412799214716,53.46510928269957
140877,Lime Tree Primary Academy,Academies,Primary,Yes,No,Mixed,2,11,2024-01-18,485,23,NA,,https://www.compare-school-performance.service.gov.uk/school/140877,Clare Larkin,www.limetree.trafford.sch.uk,-2.2986798736339953,53.41703133558527
142288,Manor Academy Sale,Academies,Secondary,No,Yes,Mixed,11,19,2024-01-18,207,47.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142288,https://www.compare-school-performance.service.gov.uk/school/142288,Pam Symonds,manoracademysale.org,-2.354684489552462,53.424743030201995
142289,Pictor Academy,Academies,Primary,Yes,No,Mixed,2,11,2024-01-18,124,29.8,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142289,https://www.compare-school-performance.service.gov.uk/school/142289,Joanna Williams,NA,-2.3256267316505888,53.39732078379481
142782,The Orchards,Free Schools,Primary,Yes,No,Mixed,3,11,2024-01-18,133,57,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142782,https://www.compare-school-performance.service.gov.uk/school/142782,Helen O'Brien,https://theorchards.bright-futures.co.uk,-2.3353624363563994,53.45725650126017
142914,Brentwood Community College,Other types,Post 16,No,No,Mixed,19,23,NA,NA,NA,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142914,https://www.compare-school-performance.service.gov.uk/school/142914,Judith Lomas,https://www.brentwoodcommunitycollege.co.uk,-2.3575733913240504,53.41393912804267
143104,North Cestrian School,Free Schools,Secondary,No,No,Mixed,11,18,2024-01-18,779,17.4,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/143104,https://www.compare-school-performance.service.gov.uk/school/143104,L R Bergin,www.northcestrian.co.uk/start.html,-2.3559293525346714,53.38822764278875
143380,Partington Central Academy,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,351,52.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/143380,https://www.compare-school-performance.service.gov.uk/school/143380,Anita Edwards,http://partingtoncentralacademy.co.uk,-2.4265860442765437,53.417173026897025
144649,Barton Clough Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,172,45.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/144649,https://www.compare-school-performance.service.gov.uk/school/144649,Jonathan Foster-Carr,https://bartonclough.bright-futures.co.uk,-2.335087420045766,53.45866847009236
145485,Tyntesfield Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,443,3.4,NA,,https://www.compare-school-performance.service.gov.uk/school/145485,Kathryn Manion,www.tyntesfieldschool.co.uk,-2.344834250755242,53.410686795111346
145746,Bollin Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,387,6.5,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/145746,https://www.compare-school-performance.service.gov.uk/school/145746,Kylie Spark,NA,-2.365795522972498,53.37277329722936
147372,Longford Park School,Academies,Primary,No,No,Mixed,4,11,2024-01-18,77,61,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/147372,https://www.compare-school-performance.service.gov.uk/school/147372,Sara Waite,http://www.longford.trafford.sch.uk,-2.294816985271788,53.448015457789396
147552,St Hilda's CofE Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,217,28.7,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/147552,https://www.compare-school-performance.service.gov.uk/school/147552,Helen Plant,www.sthildasprimary.co.uk,-2.279340527159955,53.45059642842174
148026,"St Antony's Roman Catholic School, a Voluntary Academy",Academies,Secondary,No,No,Mixed,11,16,2024-01-18,699,32.9,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/148026,https://www.compare-school-performance.service.gov.uk/school/148026,ANTHONY CAMPBELL,https://st-antonys.com,-2.3373631640142,53.449376919960784
149213,Changing Lives,Special schools,Secondary,No,No,Mixed,11,18,2024-01-18,32,NA,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/149213,https://www.compare-school-performance.service.gov.uk/school/149213,Nicola Smith,www.carrington-rc.com,-2.3749239558161106,53.42464521660447
149875,"St Joseph's Catholic Primary School, a Voluntary Academy",Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,446,4.5,NA,,https://www.compare-school-performance.service.gov.uk/school/149875,Damian Arthur,www.stjosephstrafford.co.uk,-2.319015748566554,53.42224600480915
